Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
4871CE,Complainer,"486,36","389,09",,Huurder,2018,CE,4871,51.5855,4.6544
9718BG,Complainer,"609,96","424,56",,Huurder,2018,BG,9718,53.2152,6.5544
5388HE,Complainer,710,284,,Huurder,2018,HE,5388,51.7035,5.5612
6365CA,Complainer,"402,8","161,12",,Huurder,2018,CA,6365,50.9434,5.8786
1095LA,Defendant,,,,Huurder,2018,LA,1095,52.3653,4.9467
6074BS,Complainer,"663,77","265,51",,Huurder,2018,BS,6074,51.1591,6.0154
7331PX,Defendant,"434,55","434,55",,Huurder,2018,PX,7331,52.1994,5.9774
2512AD,Complainer,665,"455,68",,Huurder,2018,AD,2512,52.0749,4.3168
6221CC,Complainer,,,,Huurder,2018,CC,6221,50.8481,5.7043
9671PL,Complainer,525,"450,49",,Huurder,2018,PL,9671,53.1459,7.0342
6542PW,Complainer,,,,Huurder,2018,PW,6542,51.8411,5.839
6542PW,Complainer,,,,Huurder,2018,PW,6542,51.8411,5.839
6542PW,Complainer,,,,Huurder,2018,PW,6542,51.8411,5.839
6542PW,Complainer,,,,Huurder,2018,PW,6542,51.8411,5.839
9712VC,Defendant,"528,5","528,5",,Huurder,2018,VC,9712,53.224,6.5575
7091TW,Defendant,"707,89","707,89",,Huurder,2018,TW,7091,51.8687,6.4808
2286CM,Complainer,,,,Huurder,2018,CM,2286,52.0286,4.3068
3572LM,Complainer,"513,39","641,74",,Verhuurder,2018,LM,3572,52.1019,5.1365
1324XA,Complainer,,,,Huurder,2018,XA,1324,52.3574,5.2055
1324XA,Complainer,"327,40",,"65,48",Huurder,2022,XA,1324,52.3574,5.2055
6218RM,Complainer,"289,11","664,95",,Verhuurder,2018,RM,6218,50.8632,5.6477
6166CG,Complainer,,,,Huurder,2018,CG,6166,50.9722,5.844
1055XD,Complainer,"684,26","410,56",,Huurder,2018,XD,1055,52.381,4.8583
3512GV,Complainer,"483,16","307,06",,Huurder,2018,GV,3512,52.0928,5.1198
3512GV,Complainer,,,,Huurder,2020,GV,3512,52.0928,5.1198
3512GV,Complainer,"453,00","181,37",,Huurder,2020,GV,3512,52.0928,5.1198
3512GV,Complainer,,,,Huurder,2020,GV,3512,52.0928,5.1198
3512GV,Complainer,"523,00","201,87",,Huurder,2020,GV,3512,52.0928,5.1198
3014LP,Complainer,597,"238,8",,Huurder,2018,LP,3014,51.922,4.4648
2315JL,Complainer,,,,Huurder,2018,JL,2315,52.1618,4.5083
2315JL,Complainer,,,,Huurder,2020,JL,2315,52.1618,4.5083
2315JL,Complainer,,,,Huurder,2020,JL,2315,52.1618,4.5083
6131BC,Complainer,550,220,,Huurder,2018,BC,6131,51.0002,5.863
9715JN,Complainer,,,,Huurder,2018,JN,9715,53.2326,6.5729
9715JN,Complainer,,,,Huurder,2018,JN,9715,53.2326,6.5729
9712LX,Complainer,,,,Huurder,2018,LX,9712,53.2237,6.5642
9712LX,Complainer,"545,38","464,57",,Huurder,2019,LX,9712,53.2237,6.5642
9712LX,Complainer,,,,Huurder,2021,LX,9712,53.2237,6.5642
3563AS,Defendant,"659,47","659,47",,Huurder,2018,AS,3563,52.1157,5.1077
1103LD,Complainer,1100,"538,66",,Huurder,2018,LD,1103,52.3245,4.9767
