Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
1063AG,Complainer,,,,Huurder,2018
1016SX,Complainer,,,,Huurder,2018
1106RR,Complainer,"718,99","575,19",,Huurder,2018
3011KE,Complainer,495,"199,08",,Huurder,2018
3063HA,Defendant,"427,96","427,96",,Huurder,2018
1071XD,Complainer,,,,Huurder,2018
9743ND,Complainer,,,,Huurder,2018
3038JP,Complainer,"611,66","491,97",,Huurder,2018
9715AG,Complainer,,,,Huurder,2018
9715JM,Complainer,,,,Huurder,2018
3031KE,Complainer,495,"246,25",,Huurder,2018
3011KE,Complainer,470,"209,32",,Huurder,2018
3031SP,Complainer,1000,"542,2",,Huurder,2018
1054XN,Defendant,"405,42","405,42",,Huurder,2018
1057XD,Complainer,,,,Huurder,2018
1056PD,Complainer,"641,95","256,78",,Huurder,2018
9727BW,Complainer,,,,Huurder,2018
9727BB,Complainer,,,,Huurder,2018
9718AP,Complainer,,,,Huurder,2018
9712PC,Complainer,,,,Huurder,2018
9715bc,Complainer,,,,Huurder,2018
9711CK,Complainer,,,,Huurder,2018
2316BW,Complainer,690,"460,86",,Huurder,2018
1061XE,Complainer,"562,15","337,29",,Huurder,2018
1013LA,Complainer,,,,Huurder,2018
2532CT,Defendant,"691,07","691,07",,Huurder,2018
9716CX,Defendant,,,,Huurder,2018
6216TM,Complainer,970,"606,08",,Huurder,2018
6224HR,Complainer,930,"686,96",,Huurder,2018
6221AR,Complainer,"356,34","229,14",,Huurder,2018
2543SJ,Defendant,,,,Huurder,2018
7441HD,Complainer,300,120,,Huurder,2018
1097WS,Defendant,"650,98","650,98",,Huurder,2018
9712LP,Complainer,305,"227,79",,Huurder,2018
6221AR,Complainer,270,"210,73",,Huurder,2018
6891BG,Complainer,,,,Huurder,2018
2523XK,Complainer,760,"445,32",,Huurder,2018
6133AC,Complainer,"306,9","122,76",,Huurder,2018
3083PX,Defendant,"401,75","401,75",,Huurder,2018
2573GA,Complainer,"668,2","559,4",,Huurder,2018
2586ED,Complainer,,,,Huurder,2018
6512HM,Complainer,625,"244,94",,Huurder,2018
2562KG,Complainer,720,"171,9",,Huurder,2018
3021GN,Complainer,,,,Huurder,2018
3061HJ,Defendant,"517,8","517,8",,Huurder,2018
1069TK,Complainer,"487,53","417,88",,Huurder,2018
2555BJ,Complainer,850,"569,76",,Huurder,2018
2524VJ,Complainer,"564,72","225,89",,Huurder,2018
2033LP,Complainer,"439,19","175,68",,Huurder,2018
6512HM,Complainer,435,"239,25",,Huurder,2018
9726GG,Complainer,,,,Huurder,2018
9711AM,Complainer,,,,Huurder,2018
2586EW,Complainer,"411,2","330,67",,Huurder,2018
1069GD,Complainer,"559,97","486,79",,Huurder,2018
1091TT,Defendant,0,0,,Huurder,2018
1076AT,Defendant,"670,26","670,26",,Huurder,2018
2543BA,Defendant,"588,74","588,74",,Huurder,2018
6221AR,Complainer,"386,51","264,72",,Huurder,2018
